department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
Operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,0,62,0
Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,73,0
Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,50,0
Analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,79,0
Sales & Marketing,region_22,Bachelor's,m,other,3,29,4.0,2,0,49,0
HR,region_13,Bachelor's,f,other,1,30,0.0,1,0,54,0
Operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,0,63,0
Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,0,90,1
Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,0,49,0
Sales & Marketing,region_4,Bachelor's,f,other,1,31,4.0,2,0,46,0
Technology,region_2,Bachelor's,m,other,1,27,5.0,2,0,86,1
Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,72,0
Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,0,72,1
Technology,region_15,Bachelor's,m,other,4,36,4.0,7,0,82,0
Technology,region_2,Bachelor's,m,sourcing,1,35,4.0,6,0,77,0
Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,0,51,1
Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,1,92,1
Operations,region_22,Bachelor's,f,sourcing,1,27,0.0,1,0,58,0
Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,0,71,0
Analytics,region_8,Bachelor's,m,other,1,28,0.0,1,0,83,0
Procurement,region_27,Master's & above,f,other,1,40,5.0,5,0,68,0
Sales & Marketing,region_27,Bachelor's,f,other,1,30,0.0,1,0,50,0
Operations,region_1,Master's & above,m,other,1,38,5.0,9,0,61,0
Sales & Marketing,region_25,Bachelor's,m,other,1,30,3.0,2,0,47,0
Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5.0,3,0,46,0
Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,0,67,0
Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,58,0
Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,0,89,1
Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,50,0
Operations,region_7,Bachelor's,m,sourcing,1,24,0.0,1,0,56,0
Technology,region_15,Bachelor's,m,other,1,27,3.0,4,0,78,0
Finance,region_28,Master's & above,m,other,2,34,3.0,7,0,56,0
Technology,region_14,Bachelor's,f,other,1,31,4.0,4,1,78,0
Technology,region_27,Bachelor's,f,sourcing,1,30,4.0,2,0,77,0
Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,76,0
Finance,region_23,Bachelor's,m,sourcing,1,31,0.0,1,0,56,0
Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,0,84,0
Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,0,57,0
Technology,region_2,Bachelor's,m,other,2,28,3.0,5,0,81,0
Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,0,51,0
Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3.0,11,0,51,0
Technology,region_29,Bachelor's,m,sourcing,1,31,5.0,4,0,80,0
Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,0,72,0
Sales & Marketing,region_4,Master's & above,m,other,1,31,4.0,6,0,50,0
HR,region_7,Master's & above,f,other,1,37,3.0,9,0,48,0
Technology,region_5,Bachelor's,f,other,2,34,5.0,8,0,88,1
Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,0,70,1
Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,0,57,0
Operations,region_13,Master's & above,m,other,1,43,3.0,7,0,56,1
Operations,region_13,Bachelor's,m,other,1,36,1.0,5,0,56,0
Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,63,0
Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,0,56,0
Analytics,region_25,Master's & above,m,other,1,34,5.0,2,0,84,0
Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4.0,4,0,45,0
HR,region_4,Bachelor's,m,other,1,27,0.0,1,0,50,0
Technology,region_26,Bachelor's,m,sourcing,1,29,3.0,5,0,75,0
Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1.0,4,0,48,0
Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,0,70,0
Procurement,region_22,Bachelor's,f,other,1,33,3.0,3,0,73,0
Procurement,region_2,Master's & above,f,other,1,33,5.0,4,0,67,0
Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,0,45,0
Technology,region_23,Master's & above,m,other,1,34,4.0,7,0,82,0
Technology,region_22,Bachelor's,m,other,2,32,4.0,6,0,84,0
Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,0,53,0
Finance,region_12,Bachelor's,m,other,1,29,5.0,6,0,61,0
Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,50,0
Technology,region_7,Bachelor's,f,other,1,28,2.0,5,0,75,0
Procurement,region_2,Master's & above,f,other,2,35,3.0,9,0,70,0
Technology,region_2,Bachelor's,f,other,2,40,3.0,3,0,86,0
Sales & Marketing,region_2,Bachelor's,f,other,2,27,2.0,4,0,54,0
Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,0,70,0
Operations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,0,57,0
Finance,region_26,Bachelor's,m,other,1,23,0.0,1,0,61,0
Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,0,84,0
Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3.0,15,0,51,0
Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,0,49,0
Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,0,70,0
Procurement,region_13,Bachelor's,f,other,1,31,5.0,5,0,72,0
Operations,region_7,Bachelor's,m,other,1,40,4.0,11,0,58,0
Operations,region_15,Bachelor's,f,other,2,39,5.0,12,0,55,0
Operations,region_2,Bachelor's,f,other,2,30,3.0,6,0,57,0
Technology,region_2,Master's & above,m,other,1,47,4.0,4,0,77,0
Sales & Marketing,region_17,Bachelor's,m,other,1,34,4.0,7,0,48,1
Operations,region_2,Unidentified,f,other,1,33,4.0,9,0,64,0
Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,0,51,0
Technology,region_7,Bachelor's,m,other,1,29,1.0,4,0,80,0
Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,86,0
Procurement,region_7,Master's & above,f,other,1,47,5.0,9,0,68,0
Operations,region_27,Bachelor's,m,other,1,35,4.0,3,0,65,0
Technology,region_22,Bachelor's,m,other,1,27,4.0,2,0,75,0
Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,0,81,0
Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3.0,9,0,49,0
Sales & Marketing,region_15,Bachelor's,m,other,2,35,1.0,8,0,39,0
Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,0,70,0
Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4.0,5,1,94,1
Operations,region_2,Master's & above,m,sourcing,1,39,3.0,2,0,60,0
Sales & Marketing,region_25,Bachelor's,m,other,1,26,5.0,2,0,51,0
Operations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,0,56,0
Operations,region_16,Unidentified,f,other,1,31,4.0,2,0,62,0
HR,region_2,Master's & above,m,sourcing,1,44,5.0,6,0,48,0
Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,0,49,0
Technology,region_26,Bachelor's,m,other,1,40,1.0,3,0,78,0
Legal,region_2,Master's & above,m,sourcing,1,50,5.0,6,1,58,0
Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,70,0
Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,69,0
Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,53,0
Analytics,region_27,Bachelor's,m,sourcing,1,25,1.0,4,0,80,0
Operations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,0,58,0
Analytics,region_4,Bachelor's,m,sourcing,1,28,0.0,1,0,85,0
Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,0,81,0
Procurement,region_12,Bachelor's,m,sourcing,1,35,1.0,8,0,67,0
Analytics,region_6,Bachelor's,m,sourcing,1,33,4.0,8,0,86,0
Analytics,region_13,Master's & above,m,other,1,30,3.0,4,0,80,0
Analytics,region_26,Bachelor's,m,other,2,27,5.0,3,0,85,0
Procurement,region_2,Bachelor's,m,other,4,29,0.0,1,0,68,0
Operations,region_2,Bachelor's,m,sourcing,1,43,3.0,3,0,58,0
Analytics,region_22,Bachelor's,m,other,2,28,3.0,5,0,86,0
Procurement,region_17,Bachelor's,m,other,1,31,5.0,3,0,68,0
Operations,region_2,Bachelor's,f,other,1,43,4.0,12,0,58,0
Operations,region_4,Bachelor's,f,other,1,35,5.0,9,0,60,0
Sales & Marketing,region_5,Bachelor's,m,other,2,35,3.0,9,0,49,0
Operations,region_2,Master's & above,m,other,1,50,3.0,8,0,59,0
HR,region_17,Bachelor's,f,other,1,26,4.0,3,0,50,0
Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3.0,5,0,52,0
Operations,region_13,Master's & above,f,other,1,38,5.0,2,1,93,1
Sales & Marketing,region_26,Unidentified,m,other,1,22,4.0,2,0,51,0
HR,region_20,Bachelor's,m,other,1,28,0.0,1,0,52,0
Procurement,region_14,Bachelor's,f,sourcing,1,37,3.0,9,0,69,0
Analytics,region_2,Bachelor's,m,sourcing,2,54,3.0,9,0,86,0
Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3.0,8,0,51,0
Technology,region_6,Bachelor's,m,other,1,35,3.0,8,0,78,0
Analytics,region_29,Bachelor's,m,other,1,39,3.0,4,0,85,0
Operations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,0,63,0
Operations,region_31,Bachelor's,m,other,2,38,3.0,7,1,60,0
Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1.0,2,0,48,0
Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2.0,3,0,52,0
Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,0.0,1,0,54,0
Analytics,region_20,Bachelor's,m,sourcing,1,30,3.0,4,0,84,0
Operations,region_22,Bachelor's,m,sourcing,2,37,2.0,4,0,57,1
R&D,region_2,Unidentified,m,other,1,25,0.0,1,0,76,0
Technology,region_22,Bachelor's,m,referred,1,26,4.0,2,0,82,0
Technology,region_7,Bachelor's,m,other,1,31,4.0,4,0,78,0
Technology,region_14,Bachelor's,f,other,1,38,5.0,7,0,82,0
Sales & Marketing,region_13,Bachelor's,m,other,1,39,4.0,9,0,49,0
Sales & Marketing,region_4,Bachelor's,m,other,1,30,5.0,4,1,50,0
Procurement,region_15,Master's & above,f,other,1,34,5.0,8,0,67,0
Procurement,region_23,Master's & above,f,other,1,33,3.0,5,0,72,0
Technology,region_2,Bachelor's,f,other,1,29,5.0,3,0,78,0
Operations,region_2,Bachelor's,m,sourcing,1,28,4.0,2,0,61,0
Finance,region_22,Bachelor's,m,sourcing,1,24,0.0,1,0,56,0
Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,0,87,0
Legal,region_22,Bachelor's,m,sourcing,1,34,5.0,4,0,64,0
Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,46,0
Technology,region_13,Master's & above,m,other,1,43,3.0,14,0,79,0
Sales & Marketing,region_15,Bachelor's,m,other,1,34,1.0,8,0,39,0
Technology,region_7,Master's & above,f,other,2,38,3.0,10,0,88,0
Operations,region_7,Bachelor's,f,other,1,34,1.0,5,0,54,0
Operations,region_22,Bachelor's,m,sourcing,1,41,4.0,4,0,63,0
Finance,region_7,Bachelor's,m,sourcing,2,29,1.0,4,0,61,0
Operations,region_2,Bachelor's,m,other,1,33,4.0,3,0,61,0
Sales & Marketing,region_2,Master's & above,f,other,1,41,4.0,5,0,48,0
Operations,region_2,Master's & above,m,other,3,38,3.0,11,0,57,0
Procurement,region_2,Master's & above,f,other,2,54,4.0,23,0,66,0
Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2.0,8,0,49,0
R&D,region_2,Bachelor's,m,other,2,26,5.0,3,0,87,0
Operations,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,59,0
Legal,region_2,Below Secondary,m,other,1,28,0.0,1,0,62,0
Operations,region_33,Master's & above,m,other,1,36,3.0,4,0,60,0
Technology,region_5,Bachelor's,m,other,1,45,3.0,15,0,87,0
Procurement,region_7,Master's & above,m,other,1,38,4.0,7,0,66,0
Sales & Marketing,region_27,Bachelor's,f,other,1,26,2.0,4,0,47,0
Analytics,region_27,Unidentified,m,sourcing,1,31,3.0,4,0,85,0
Analytics,region_34,Bachelor's,m,sourcing,1,32,3.0,7,0,87,0
Analytics,region_6,Bachelor's,m,sourcing,1,29,4.0,4,0,78,0
Sales & Marketing,region_2,Bachelor's,f,other,1,40,3.0,12,0,50,0
Technology,region_2,Bachelor's,m,referred,2,29,4.0,6,0,75,0
Analytics,region_28,Bachelor's,m,other,2,31,5.0,7,0,87,0
Finance,region_16,Bachelor's,m,other,1,32,5.0,6,0,58,0
Operations,region_17,Bachelor's,m,other,1,42,5.0,11,0,67,0
Procurement,region_15,Bachelor's,f,sourcing,1,30,5.0,3,0,65,0
Procurement,region_16,Bachelor's,f,other,1,24,3.0,2,0,70,0
Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3.0,7,0,56,0
Technology,region_5,Bachelor's,f,sourcing,2,32,1.0,3,0,80,0
HR,region_2,Bachelor's,f,sourcing,1,22,3.0,2,0,47,0
Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5.0,14,0,48,0
Operations,region_16,Bachelor's,m,other,2,39,3.0,9,0,58,0
Technology,region_7,Bachelor's,f,other,1,46,4.0,17,0,85,0
Technology,region_15,Bachelor's,m,other,1,29,2.0,5,0,77,0
Finance,region_7,Bachelor's,m,other,1,26,1.0,3,0,59,0
Operations,region_23,Bachelor's,m,other,1,35,4.0,5,0,61,0
Procurement,region_2,Bachelor's,f,other,1,29,4.0,2,0,95,1
Technology,region_13,Bachelor's,m,sourcing,1,30,2.0,9,0,79,0
Sales & Marketing,region_7,Bachelor's,m,other,1,45,4.0,5,0,50,0
Sales & Marketing,region_15,Bachelor's,f,other,1,30,1.0,6,0,47,0
Finance,region_32,Bachelor's,m,sourcing,1,28,2.0,4,0,59,0
Technology,region_2,Master's & above,m,sourcing,1,46,5.0,10,0,76,0
Procurement,region_7,Bachelor's,m,sourcing,1,27,2.0,2,0,69,0
Sales & Marketing,region_11,Bachelor's,m,sourcing,1,34,2.0,5,0,47,0
Analytics,region_19,Bachelor's,m,sourcing,2,32,5.0,3,0,86,0
Operations,region_22,Bachelor's,f,other,1,35,5.0,10,0,63,0
Procurement,region_27,Bachelor's,m,other,1,36,4.0,3,0,66,0
Finance,region_31,Bachelor's,m,other,1,29,4.0,4,0,57,0
Procurement,region_2,Bachelor's,f,referred,1,33,3.0,3,0,67,0
Operations,region_16,Bachelor's,f,other,1,32,5.0,6,0,62,0
Legal,region_22,Below Secondary,m,other,1,25,5.0,2,0,59,0
Procurement,region_13,Bachelor's,m,other,4,41,2.0,9,0,68,0
Procurement,region_12,Bachelor's,f,other,1,25,0.0,1,0,69,0
Analytics,region_2,Master's & above,m,other,1,50,1.0,7,1,79,0
Sales & Marketing,region_26,Bachelor's,m,other,1,30,1.0,7,0,53,0
Technology,region_24,Bachelor's,m,sourcing,1,28,0.0,1,0,81,0
Analytics,region_20,Master's & above,m,other,1,40,5.0,5,1,83,1
Finance,region_2,Below Secondary,f,other,1,26,3.0,2,0,61,0
Technology,region_13,Bachelor's,m,other,1,35,5.0,8,0,81,0
Sales & Marketing,region_7,Master's & above,m,other,1,37,3.0,7,0,52,0
Operations,region_22,Master's & above,m,other,1,34,3.0,3,0,75,1
Operations,region_8,Bachelor's,m,sourcing,1,25,3.0,2,0,57,0
Sales & Marketing,region_2,Unidentified,m,other,1,22,5.0,2,0,62,1
Procurement,region_2,Bachelor's,f,other,2,26,5.0,2,0,68,1
Technology,region_2,Bachelor's,f,other,1,31,4.0,7,0,80,0
Finance,region_2,Bachelor's,m,sourcing,4,31,5.0,3,0,60,0
Analytics,region_25,Bachelor's,m,sourcing,1,32,3.0,6,0,86,0
Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,5.0,8,0,48,0
Sales & Marketing,region_2,Bachelor's,f,sourcing,1,42,4.0,9,0,51,0
Sales & Marketing,region_20,Bachelor's,m,other,1,28,3.0,3,0,48,0
Analytics,region_12,Bachelor's,m,sourcing,2,33,4.0,3,0,86,0
Analytics,region_2,Bachelor's,m,sourcing,1,41,3.0,3,0,86,0
Operations,region_2,Below Secondary,m,other,2,26,0.0,1,0,61,0
Procurement,region_12,Bachelor's,f,other,1,32,5.0,5,1,84,1
Operations,region_2,Unidentified,m,other,1,48,3.0,8,0,57,0
Operations,region_26,Master's & above,m,other,1,41,3.0,7,0,58,0
Technology,region_2,Master's & above,m,other,1,31,5.0,4,0,82,0
Sales & Marketing,region_26,Bachelor's,m,other,1,37,4.0,5,0,54,0
Analytics,region_29,Bachelor's,m,other,1,30,1.0,4,0,84,0
Finance,region_2,Below Secondary,m,other,1,26,5.0,2,0,60,0
Sales & Marketing,region_13,Bachelor's,m,sourcing,1,44,5.0,11,0,42,0
Operations,region_7,Bachelor's,f,sourcing,1,44,3.0,10,0,60,0
R&D,region_22,Master's & above,m,other,1,30,4.0,2,0,96,1
Operations,region_22,Below Secondary,m,other,1,24,3.0,2,0,59,0
Sales & Marketing,region_27,Bachelor's,m,other,1,40,1.0,10,0,49,0
Technology,region_11,Master's & above,m,other,1,32,3.0,5,0,80,0
Sales & Marketing,region_2,Bachelor's,m,sourcing,1,40,5.0,7,0,53,0
Technology,region_7,Below Secondary,f,other,2,24,4.0,3,0,78,0
Sales & Marketing,region_26,Bachelor's,m,other,1,45,4.0,15,0,64,1
Sales & Marketing,region_2,Bachelor's,f,other,1,34,5.0,5,0,60,1
Technology,region_24,Bachelor's,m,sourcing,1,35,3.0,7,0,82,0
Sales & Marketing,region_16,Unidentified,m,other,1,24,4.0,2,0,51,0
Sales & Marketing,region_23,Bachelor's,m,other,1,35,2.0,8,0,48,0
Technology,region_23,Bachelor's,m,sourcing,1,31,1.0,2,0,81,0
Operations,region_29,Bachelor's,m,other,1,33,3.0,5,0,60,0
HR,region_2,Master's & above,f,sourcing,1,44,3.0,14,0,47,0
Sales & Marketing,region_28,Unidentified,m,other,1,24,2.0,2,0,52,1
Procurement,region_2,Bachelor's,m,other,2,34,2.0,10,0,69,0
Sales & Marketing,region_22,Bachelor's,m,sourcing,1,37,5.0,2,0,54,0
Operations,region_26,Bachelor's,m,other,2,31,3.0,4,0,63,0
Procurement,region_19,Bachelor's,m,other,1,32,3.0,8,0,69,0
Operations,region_2,Bachelor's,f,other,1,33,5.0,7,0,57,0
Operations,region_2,Unidentified,f,sourcing,1,53,3.0,11,0,57,0
Operations,region_22,Bachelor's,m,sourcing,2,37,5.0,4,0,57,0
Sales & Marketing,region_15,Bachelor's,m,sourcing,1,30,2.0,5,0,49,0
Analytics,region_15,Bachelor's,m,sourcing,1,35,5.0,3,0,81,0
Technology,region_11,Bachelor's,m,sourcing,1,32,3.0,4,0,80,0
Operations,region_15,Bachelor's,m,sourcing,1,45,3.0,9,0,61,0
Procurement,region_13,Bachelor's,m,other,1,29,0.0,1,0,69,0
Sales & Marketing,region_4,Bachelor's,m,sourcing,2,31,3.0,4,0,53,0
Technology,region_15,Bachelor's,m,sourcing,2,34,3.0,8,0,80,0
Analytics,region_22,Bachelor's,f,other,1,24,0.0,1,0,86,0
